Nome,Descritivo,Serviços,Fundadores,Informações Legais,Endereço,Site,Telefone,Email
Lexio,Otimizamos fluxos contratuais para que advogados foquem no estratégico e a Lexio cuide do operacional,Automatização de contratos | Organização de documentos | Assinatura eletronicamente | ,Fabrício Ramos | ,Investimento do Escritório Baptista Luz (anjo),"Rua Ramos Batista, 444, 7 andar",https://www.lexio.legal/,11 999941571,fabricio.ramos@lexio.legal
YALLA,CIÊNCIA DE DADOS E TECNOLOGIA NO INVESTIMENTO DE ATIVOS JUDICIAIS,Antecipação de honorários/recebíveis | Aquisição de direitos creditórios | Estruturação de ativos judiciais | ,Khalil Kaddissi | ,,"Av. Nove de Julho, 3229 - Conj. 303 - Jardim Paulista - CEP 01407-000",https://yalla.tec.br/,(11) 4395-9900,contato@yalla.tec.br
ClickJur,Cuida dos correspondentes para você.,"Clickjur, sistema de gestão de serviços para escritórios jurídicos, seus processos em dia. | ",Adriano da Silva Campos | ,,"Rua Ulisses Cruz, 579, CJ 54 B2,  CEP 03077-000",https://clickjur.com/,(11) 2626 -1015,contato@clickjur.com
Opice Blum Academy,"Seja disruptivo, antecipe tendências. Seja Opice Blum Academy!",OPICE BLUM ACADEMYIN COMPANY | ,José Roberto Opice Blum | ,,"Al. Joaquim Eugênio de Lima, 680 12º andar Jardim Paulista CEP 01418-100",https://opiceblumacademy.com.br/,11 2189 0052,contato@opiceblumacademy.com.br
MT4,A nova era em propriedade intelectual,Marcas | Patentes | Desenhos Industriais | Softwares | Direitos autorais | Contratos | Litígios | Concorrência desleal | LGPD | Nomes de domínio | Gestão de inovação | Direito Empresarial | ,MAURÍCIO TAVARES | ,,"Av. Paulista 2421, 1º Andar Bela Vista, São Paulo/SP CEP 01311-300",https://www.mt4ip.com.br/,-,info@mt4ip.com.br
VERIFACT,A solução online mais confiável para o registro de provas digitais de conteúdos da internet.,Plataforma online de coleta de provas digitais | ,Regina Acutu | ,"A Verifact já foi acelerada e recebeu investimento da Wow Aceleradora em 2020. Atualmente está em fase de tração, com crescimento exponencial de clientes e faturamento.","Avenida Bento Munhoz da Rocha Netto, 632. Slj 02 sl 201/204 T. Norte. Zona 07, Maringá, Paraná. CEP 87030-010",https://www.verifact.com.br/,11 957841206,faleconosco@verifact.com.br
ADAM TECNOLOGIA,Soluções modernas que fazem a diferença,Plataforma Online | Sites institucional | Aplicativos para resolução de conflitos  | ,Roberto Adam | ,,"Rua Wilhelm Geske, 60, Velha, Blumenau, SC, 89045-010",https://adamtecnologia.com/,+55 (47) 3041-2326 / +55 (47) 9 9956-2326 Whatsapp.,contato@adamtecnologia.com
LEME INTELIGÊNCIA FORENSE,"Somos especialistas em Investigação Patrimonial e Análise de Riscos, com soluções aplicáveis em toda a esteira do crédito à cobrança.",Investigação Patrimonial | Plataforma de Busca de Ativos Patrimoniais |  Mapa de Relacionamento | Pesquisa de Óbito Nacional | Dossiê de Indícios | Background Check | Due Diligence e Análise de Riscos | Relatório de Informações Cadastrais | ,Gesivaldo Dantas da Silveira | ,,"Rua Genoveva Forlepa Kopka, 24 - Pineville - Pinhais - Paraná - CEP 83.320-560",https://lemeforense.com.br/,(41) 3667-4784 (41) 3512-2215,contato@lemeforense.com.br
SEM PROCESSO,Reduzir os conflitos no mundo,Com Acordo | Lawop | Spectter | Notificca | Falejur | ,Bruno Feigelson | ,,"Rua Marquês de São Vicente, 225, A233, Gávea, Rio de Janeiro, RJ, 22.451-900",https://www.semprocesso.com.br/,+55 21 99598-4555 - Comercial,rafaela.sanson@semprocesso.com.br
IVIJUR,Bem-vindo ao mundo da comunicação inteligente!,Chatbot | ,MARCELA CARVALHO | ,,"Av. Raja Gabáglia, 1613, sala 501, bairro Luxemburgo, Belo Horizonte/MG, CEP 30.380-435",https://ivijur.com.br/,(38) 98835-3505 e (38) 99820-7791,contato@ivijur.com.br
VILLA VISUAL LAW STUDIO,Visual Law é Villa,"Templates editáveis | Transformamos os seus documentos jurídicos com base nos seus gostos pessoais, ou do seu escritório. | Villa Academy | ",Rui Nogueira Paes Caminha Barbosa | ,,"Av. Dr. Vital Brasil, 951 - Butantã, São Paulo - SP, 05503-001",http://visuallaw.design/,(11) 953445430,sara.m@visuallaw.design
RECUPERIUM,Lawtech especialista em Business Intelligence,Relatório de Investigação Repressiva (RIR) | Relatório de Investigação Preventiva (RIP) | Relatório Pré-Investigativo (RPI) | Pré-check | ,Armando Zanin Neto | ,,"Rua Doutor Teodoro Langard, 1045, Castelo - Campinas/SP CEP: 13070-760",https://recuperium.com.br/,(019) 99864.9146,administrativo@recuperium.com.br
LEXNAUTAS,Recrutamento Jurídico Reinventado,Recrutamento Jurídico | Vagas Jurídicas | Cursos para Advogados | ,Bruno Nassar | ,,"Rua José de Alencar, 321, Vargem Grande - Pinhais/PR CEP:  83321-230",https://lexnautas.com.br/,(41) 99694.1220,bruno.nassar@lexnautas.com.br
REVIO,Revolucionando a revisão fiscal e tributária através da Tecnologia,Software para apuração de créditos de Verbas Indenizatórias. | Apuração de crédito de produtos monofásicos do Simples Nacional | Retificação de Obrigações Acessórias | Software para revisão de PIS e COFINS | Extração de Dados de SPEDs 6- Creditos de ICMS | ,Edson Hideki Mizoguchi | ,,"Alameda dos Maracatins, 780 conjunto 1401",https://www.revio.com.br,11 50521236,contato@revio.com.br
JUSDOCS,Para toda ação uma petição.,Compartilhamento de Petições  | ,Williann Georgi | ,,"Rua Mário Antunes da Cunha, 511 / 1304B, Petrópolis - Porto Alegre/RS",https://jusdocs.com/,55 (51) 98283-5490,contato@jusdocs.com
NETLEX,Make your documents flow,SaaS  | ,Flávio Ribeiro | ," O netLex já recebeu aportes do Canary e Parceiro Ventures, além de ter sido acelerados pela Fundação Estudar e participado de programas de aceleração da Unimed, Endeavor, boostLab.","Rua Pernambuco, 554, 9º andar - Savassi",https://netlex.io/,,sales@netlex.io
ANYTASK SOLUÇÕES,Promovendo a Transformação Digital no meio Jurídico,Protocolo Já | Captura Processual | Saneamento de Base | Mensageria por WhatsApp | Cadastro de novos processos | Conferência de Pauta do Advogado | Anytask JUR | Workflow | ,Gustavo Nora Bittencourt | ,,"Av. Nações Unidas 17-17 sala 303, Vl. Sto Antônio, Bauru/SP",https://anytask.com.br/,(14) 9 8135.0330,gustavo.bittencourt@anytask.com.br
LDSOFT,Software Jurídico e Propriedade Intelectual,APOL | ,Luiz Duffles | ,,"Rua Visconde do Uruguai, 480 5ª andar  Niterói – RJ – CEP 24030-076",https://www.ldsoft.com.br,+55 (21) 2613-3656,mfragoso@ldsoft.com.br
KURIER,Inteligência Jurídica,Kurier Meridio | Cadastro Automático | Kurier Analytics | ,Fred Ferraz | ,Endeavor Scale-Up,"Avenida Barbosa Lima, 149, Sala 401 - Recife/PE - 50030-330",https://www.kurier.com.br,0800 729 2090,contato@kurier.com.br
